search_keyword,label,title,video_id,view_count,like_count,comment_count,published_at
차별,1,&#39;당하고만 있을 줄 알았어?&#39;…인종차별 &#39;역&#39;으로 받아치자 #뉴스다 / JTBC News,_MTyKMg2MZ0,3835056,16459,7841,2024-03-06T06:44:54Z
차별,1,언니만 예뻐하고 나를 차별하는 엄마 때문에 속상해요🥺 크리스마스에 무슨 일이 있었을까요? 사연드라마｜클레버TV,J1UB4dBerKs,188333,1688,336,2025-12-24T08:40:00Z
차별,1,99년 프랑스의 살벌한 인종차별.. 살 꼬집고 강추위 문전박대까지. 나를 위로해주었던 단 한 사람은? | 임현정 피아니스트 [라이프IN넘버스] #인종차별 #유럽 #피아노,OaZ3cdT9xnQ,768045,15676,1984,2023-11-15T05:00:12Z
조작,1,&quot;전쟁 이용해 주가조작까지?&quot; 거의 1조원 &#39;짜고 쳤나&#39; [뉴스.zip/MBC뉴스],8iKHLm88bU4,592297,7521,3358,2026-03-25T00:07:50Z
조작,1,김건희 불기소 문건엔 &quot;주가조작 일당에 일임&quot; 판박이 논리 [이슈PLAY] / JTBC News,DgXiBMXCSGc,12090,361,16,2026-03-26T00:12:34Z
조작,1,현실보다 더한 드라마🔥90분 순삭🔥 남궁민 미친 연기력 ㄷㄷ S급 전투력으로 대한민국 조작 세력을 쓸어버리는 참교육 전문 기레기 👊 #조작 #출근후리뷰,1qB-vKzG9nY,2740168,10060,353,2025-07-17T08:00:04Z
조작,1,"국회 조작기소 특위, 국민의힘 인사말 하자마자 아수라장 [26. 3. 25.]",GEMaivR8BbQ,5653,221,37,2026-03-25T02:13:03Z
조작,1,국회 ‘윤석열 정권 정치검찰 조작기소 의혹사건 진상규명 국정조사 특별위원회’ 전체회의 - [끝까지LIVE] MBC 중계방송 2026년 03월 25일,MVc4hyak5NI,40276,1285,139,2026-03-25T02:49:53Z
조작,1,‘조작 기소’ 국정조사 특위 증인 102명 채택…현직 검사 40명 부른다 / 채널A / 뉴스A,mJABsuelvuk,1509,21,20,2026-03-25T11:23:59Z
조작,1,국회 조작 기소 국정조사 특위서 여야 충돌…증인 102명 채택 / KBS  2026.03.25.,oBmby3dEDoo,379,7,0,2026-03-25T10:31:42Z
조작,1,고작 2천에 팔아버린 우정 #조작 #출근후리뷰,dBO-qYKD3H8,3389,25,0,2025-07-19T08:00:44Z
조작,1,&quot;개미 피눈물 빨아먹은 &#39;슈퍼리치·증권맨&#39; 드디어 잡혔다!&quot; 주가조작 패가망신 선언한 합동대응단 1호 사건의 전말,wxIm7wsJaRc,11903,313,28,2026-03-22T06:16:48Z
조작,1,국회 조작 기소 국정조사 특위서 여야 충돌…증인 102명 채택 / KBS  2026.03.26.,XgcLpViyxy8,245,4,1,2026-03-25T21:56:42Z
조작,1,[국회 LIVE 🔴] 윤석열 정권 정치검찰 조작기소 국정조사특별위원회 I 20260325,xVuXOJwhzpc,10752,439,68,2026-03-25T02:57:18Z
조작,1,[오듣드] 수란 - 어디있나요 (조작 OST Part 1) 《스브스캐치｜OST로 듣는 드라마》,TQbzlCIkogg,68152,524,43,2017-08-01T09:00:02Z
조작,1,"중수청법, 민주당 주도로 본회의 통과…‘조작기소’ 국정조사 계획서 상정 / KBS  2026.03.21.",rgqILgo4Zkw,7999,146,25,2026-03-21T10:10:25Z
조작,1,"[자막] 서영교 위원장, 나경원 &#39;막무가내 공세&#39; 단칼에 제압! &quot;정치검찰 조작기소, 진실부터 밝힙시다&quot;",VTc01JRIKE8,67692,862,498,2026-03-25T01:57:41Z
조작,1,범인이 누구인지 미리 알고 있었던 대한일보 #조작 #출근후리뷰,3HAaSK6rRB4,11753,39,2,2025-07-19T08:00:07Z
조작,1,"검찰 조작기소 국정조사, 계획서 본회의 통과 후 첫 회의 (26.3.25.) | 문학진 전 더불어민주당 의원·안형환 전 국민의힘 의원 | 이슈&amp;포커스 | 국회라이브1",8mwP2RYAp_U,173,10,1,2026-03-25T05:37:53Z
조작,1,"&quot;똥밭에서 똥 이야기한다는데!&quot; 조작기소 국정조사, 1시간 내내 싸웠다 (풀영상) [현장영상] / 채널A",1-OZHWb-Uws,505,33,7,2026-03-26T03:38:08Z
조작,1,당당하게 밀고 들어온 금고털이범 #조작 #출근후리뷰,PA0zEasF6wU,107700,202,2,2025-07-20T08:00:24Z
조작,1,‘조작 기소’ 국정조사 특위 “김현지 부르자” vs “정치 공세” / KBS  2026.03.25.,wkuXWyT_TcM,620,4,1,2026-03-25T06:18:37Z
조작,1,&#39;조작기소 국정조사&#39; 통과 &quot;공소 취소까지 갈 수 있을까요?&quot; [김광일의입],8hOJ0ji9_Jo,17711,1270,22,2026-03-23T07:02:48Z
조작,1,"이 대통령 &quot;&#39;그것이 알고싶다&#39; 덕분에 살인조폭으로 몰려, 조작 방송 사과해야&quot;｜지금 이 뉴스",X4tyuLM9wqM,407968,11057,4654,2026-03-20T01:51:57Z
조작,1,[LIVE] &#39;윤석열 정권 정치검찰 조작기소 의혹 사건&#39; 진상규명 국정조사특별위원회 생중계/2026년 3월 20일(금)/KBS,rlgprYdXOYQ,2108,52,3,2026-03-20T02:54:41Z
조작,1,"조작기소 국조 특위 시작부터 격돌! 말리던 서영교, 결국 국힘에 분노 폭발 “이 사람들이! 국회법 공부 좀 하세요!”",wPEgMMovEog,9372,321,52,2026-03-25T08:51:29Z
조작,1,"[#조작] 누군가는 진실을 감췄고, 누군가는 목숨을 걸었다",vKiGmarH_vA,3955,23,2,2025-06-21T08:01:07Z
조작,1,"[🔴박상용 LIVE]  미리보는 &#39;尹검찰 조작기소&#39; 국정조사..&#39;쌍방울 대북송금&#39; 사건의 재구성, 증인 박상용 검사에게 듣다",x4k5YQzmPcI,11489,928,114,2026-03-25T08:29:39Z
조작,1,중수•공소청 국회 통과/ 조작기소 7대의혹 국정조사 시작/임은정 흉내내는 박상용이 어이 없는 이유 [#논썰｜EP.269],EKLnACQNr6s,42144,1713,134,2026-03-20T12:00:07Z
조작,1,조작된 내란 감춰진 진실 솔직 후기,q7nZBqx-GKY,92264,6482,2105,2026-02-10T06:30:42Z
조작,1,국회 ‘윤석열 정권 정치검찰 조작기소 의혹사건 진상규명 국정조사 특별위원회’ 전체회의 - [끝까지LIVE] MBC 중계방송 2026년 03월 20일,s3t_gZ-DKvo,51032,1637,154,2026-03-20T03:23:25Z
